ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Approved Authority Name,Units Available,Price
12511,Ready to Move,,7,N,Vasant Builders,KDMC,,4300000.0
12510,Under Construction,Dec '24,10,N,,KDMC,25.0,3990000.0
12509,Ready to Move,,2,N,Zojwala Group,,,4000000.0
12508,Ready to Move,,2,N,,ABAMNC,1.0,2187000.0
12507,Ready to Move,,6,N,Gurukrupa Group,,0.0,7000000.0
12506,Ready to Move,,Ground,N,,ABAAut,1.0,6000000.0
12505,Under Construction,Jun '24,26,Y,Godrej Properties,KDMC,0.0,8500000.0
12504,Under Construction,Dec '23,5,N,Saisatyam Group,KDMC,60.0,4900000.0
12503,Ready to Move,,4,N,,ABAMNC,,3800000.0
12502,Ready to Move,,17,N,,KDMC,,5600000.0
12501,Under Construction,Mar '26,10,N,,KDMC,650.0,3800000.0
12500,Under Construction,Dec '24,17,N,Birla Estates,KDMC,4.0,4500000.0
12499,Under Construction,Jun '24,1,N,Godrej Properties,ABAAut,5.0,4650000.0
12498,Under Construction,Dec '24,21,N,Godrej Properties,ABAAut,5.0,3990000.0
12497,Under Construction,Jan '26,8,N,,ABADev,6.0,6540000.0
12496,Under Construction,Dec '25,15,N,,KDMC,,8500000.0
12495,Under Construction,Mar '23,7,N,Gurukrupa Group,KDMC,2.0,6500000.0
12494,Under Construction,Mar '23,11,N,Ajmera Realty & Infra India Ltd.,KDMC,,4500000.0
12493,Under Construction,Dec '24,14,N,Ajmera Realty & Infra India Ltd.,KDMC,10.0,5499000.0
12492,Under Construction,Dec '24,11,N,,"ABAMNC,HMDA,GHMC,BIAAPA",2.0,4645000.0
12491,Under Construction,Dec '25,8,N,,ABAMNC,12.0,3519000.0
12490,Under Construction,Mar '25,7,N,Mehta Group,KDMC,5.0,4300000.0
12489,Under Construction,Oct '25,10,N,,KDMC,50.0,8400000.0
12488,Under Construction,Dec '24,18,N,Ajmera Realty & Infra India Ltd.,KDMC,10.0,6699000.0
12487,Ready to Move,,5,N,Balaji World,KDMC,0.0,8800000.0
12486,Under Construction,Dec '25,Upper Basement,N,Godrej Properties,TMC,57.0,6900000.0
12485,Under Construction,Dec '25,Upper Basement,N,Godrej Properties,TMC,63.0,4300000.0
12484,Under Construction,Dec '25,21,N,Tharwani Infrastructures,KDMC,11.0,9900000.0
12483,Ready to Move,Feb '23,9,N,Regency Nirman Limited,ABADev,,4410000.0
12482,Under Construction,Dec '23,Ground,N,Godrej Properties,ABAMNC,35.0,7604000.0
12481,Ready to Move,Jun '19,14,N,Raunak Group,ABAMNC,,5600000.0
12480,Ready to Move,,1,N,Raunak Group,ABAMNC,,3650000.0
12479,Ready to Move,,11,N,,ABAMNC,,7300000.0
12478,Under Construction,Dec '23,7,N,,KDMC,2.0,6500000.0
12477,Under Construction,Dec '25,8,Y,,KDMC,12.0,4500000.0
12476,Under Construction,Mar '26,8,N,,KDMC,12.0,4399500.0
12475,Ready to Move,,4,N,,,,3400000.0
12474,Under Construction,Dec '23,12,N,Gopal Krishna Developers,KDMC,10.0,4545000.0
12473,Under Construction,Dec '26,10,N,,KDMC,10.0,4900000.0
12472,Ready to Move,,3,N,Sai Siddhi Developers,ABAMNC,3.0,2616500.0
12471,Under Construction,Dec '24,3,N,Samarth Sai Builders & Developers,KDMC,4.0,3535000.0
12470,Under Construction,May '25,8,N,Kohinoor Group,ABADev,,3299000.0
12469,Under Construction,May '25,10,N,Kohinoor Group,ABADev,,5050000.0
12468,Under Construction,Mar '24,10,N,,KDMC,3.0,4646000.0
12467,Under Construction,Dec '24,9,N,Kohinoor Group,KDMC,4.0,3171000.0
12466,Ready to Move,,7,Y,,KDMC,,4500000.0
12465,Under Construction,Jun '25,6,N,Kohinoor Group,KDMC,12.0,3400000.0
12464,Under Construction,Jun '24,12,N,,,,5800000.0
12463,Under Construction,Jun '24,12,N,West Pioneer Properties India Pvt. Ltd.,KDMC,10.0,12100000.0
12462,Ready to Move,,5,N,Vaishnavi Buildcon,KDMC,0.0,6000000.0
12461,Under Construction,Dec '24,12,N,Kohinoor Group,KDMC,102.0,4290000.0
12460,Under Construction,Dec '24,5,N,Kohinoor Group,KDMC,79.0,2999000.0
12459,Under Construction,Dec '24,12,N,Kohinoor Group,KDMC,102.0,3099000.0
12458,Ready to Move,,3,N,Sai Siddhi Developers,ABAMNC,,2616000.0
12457,Under Construction,Dec '24,9,N,,KDMC,4.0,4550000.0
12456,Ready to Move,,3,Y,Kohinoor Group,KDMC,0.0,5000000.0
12455,Under Construction,Dec '23,11,N,,KDMC,,4700000.0
12454,Under Construction,May '25,8,N,Kohinoor Group,ABADev,,3699000.0
12453,Under Construction,May '25,4,N,Kohinoor Group,ABADev,,5150000.0
12452,Ready to Move,,7,N,,KDMC,,5200000.0
12451,Under Construction,Mar '25,13,N,,KDMC,3.0,2997000.0
12450,Under Construction,Dec '24,7,N,Samarth Sai Builders & Developers,KDMC,5.0,3491000.0
12449,Under Construction,Dec '24,10,Y,,KDMC,12.0,4400000.0
12448,Under Construction,Jun '25,7,N,Kohinoor Group,KDMC,12.0,4950000.0
12447,Ready to Move,,5,N,Vaishnavi Buildcon,KDMC,0.0,6000000.0
12446,Under Construction,Dec '24,12,N,Kohinoor Group,KDMC,102.0,4290000.0
12445,Under Construction,Dec '24,5,N,Kohinoor Group,KDMC,79.0,2999000.0
12444,Under Construction,Dec '24,12,N,Kohinoor Group,KDMC,102.0,3099000.0
12443,Ready to Move,,3,N,Sai Siddhi Developers,ABAMNC,,2616000.0
12442,Under Construction,Dec '24,9,N,,KDMC,4.0,4550000.0
12441,Ready to Move,,3,Y,Kohinoor Group,KDMC,0.0,5000000.0
12440,Under Construction,Dec '23,11,N,,KDMC,,4700000.0
12439,Under Construction,May '25,8,N,Kohinoor Group,ABADev,,3699000.0
12438,Under Construction,May '25,4,N,Kohinoor Group,ABADev,,5150000.0
12437,Ready to Move,,7,N,,KDMC,,5200000.0
12436,Under Construction,Mar '25,13,N,,KDMC,3.0,2997000.0
12435,Under Construction,Dec '24,7,N,Samarth Sai Builders & Developers,KDMC,5.0,3491000.0
12434,Under Construction,Dec '24,10,Y,,KDMC,12.0,4400000.0
12433,Under Construction,Jun '25,7,N,Kohinoor Group,KDMC,12.0,4950000.0
12432,Ready to Move,,2,Y,Madan Chikankar,,,
12431,Ready to Move,,2,N,Hindustan Enterprises,,,1500000.0
12430,Ready to Move,,1,N,Hindustan Enterprises,,,1900000.0
